date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:25	1019/1019	---MCZ	200	added ('OK')	text/plain	etag:W/%22609baaf6-103b%22	https://leffet.in/robots.txt		(from )
23:53:25	156884/156884	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2018:23:25%20GMT	https://leffet.in/	C:/My%20Web%20Sites/Letit/leffet.in/index.html	(from )
23:53:26	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22609baad3-1536%22	https://leffet.in/img/favicon.ico?1635231173	C:/My%20Web%20Sites/Letit/leffet.in/img/faviconad87.ico	(from https://leffet.in/)
23:53:26	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2003%20Nov%202021%2018:23:25%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Letit/connect.facebook.net/en_US/fbevents.js	(from https://leffet.in/)
23:53:26	646673/646673	---MCZ	200	added ('OK')	text/css	etag:W/%2260b0d3e5-9de11%22	https://leffet.in/themes/leo_qos/assets/css/theme.css	C:/My%20Web%20Sites/Letit/leffet.in/themes/leo_qos/assets/css/theme.css	(from https://leffet.in/)
23:53:26	1055/1055	---MCZ	200	added ('OK')	text/css	etag:W/%22609baad5-41f%22	https://leffet.in/modules/blockreassurance/views/css/front.css	C:/My%20Web%20Sites/Letit/leffet.in/modules/blockreassurance/views/css/front.css	(from https://leffet.in/)
23:53:27	511/511	---M--	200	added ('OK')	text/css	etag:%22609baad5-1ff%22	https://leffet.in/modules/ccavenue/views/css/ccavenue.css	C:/My%20Web%20Sites/Letit/leffet.in/modules/ccavenue/views/css/ccavenue.css	(from https://leffet.in/)
23:53:27	22013/22013	---MCZ	200	added ('OK')	text/css	etag:W/%22609baaf1-55fd%22	https://leffet.in/themes/leo_qos/modules/leoslideshow/views/css/typo/typo.css	C:/My%20Web%20Sites/Letit/leffet.in/themes/leo_qos/modules/leoslideshow/views/css/typo/typo.css	(from https://leffet.in/)
23:53:27	6903/6903	---MCZ	200	added ('OK')	text/css	etag:W/%22609baaf1-1af7%22	https://leffet.in/themes/leo_qos/modules/leoslideshow/views/css/iView/iview.css	C:/My%20Web%20Sites/Letit/leffet.in/themes/leo_qos/modules/leoslideshow/views/css/iView/iview.css	(from https://leffet.in/)
23:53:27	993/993	---MCZ	200	added ('OK')	text/css	etag:W/%22609baaf1-3e1%22	https://leffet.in/themes/leo_qos/modules/leoslideshow/views/css/iView/skin_4_responsive/style.css	C:/My%20Web%20Sites/Letit/leffet.in/themes/leo_qos/modules/leoslideshow/views/css/iView/skin_4_responsive/style.css	(from https://leffet.in/)
23:53:28	29414/29414	---MCZ	200	added ('OK')	text/css	etag:W/%22609baaf1-72e6%22	https://leffet.in/themes/leo_qos/modules/leoquicklogin/views/css/front.css	C:/My%20Web%20Sites/Letit/leffet.in/themes/leo_qos/modules/leoquicklogin/views/css/front.css	(from https://leffet.in/)
